Block,Primary Type,Location Description,Arrest,Domestic,Latitude,Longitude,Location,,,,
043XX S ARCHER AVE,THEFT,BANK,FALSE,FALSE,41.81421807,-87.7038088,"(41.81421806705042, -87.70380879656555)",,,,
045XX W NORTH AVE,THEFT,DEPARTMENT STORE,TRUE,FALSE,41.90960009,-87.73933483,"(41.90960009332906, -87.73933482789793)",,,,
041XX S ALBANY AVE,THEFT,STREET,FALSE,FALSE,41.81894245,-87.70207864,"(41.818942450798886, -87.70207864190911)",,,,
020XX W CHICAGO AVE,THEFT,GROCERY FOOD STORE,TRUE,FALSE,41.89578383,-87.67796964,"(41.8957838307003, -87.67796963619952)",,,,
043XX N CENTRAL AVE,THEFT,DRUG STORE,TRUE,FALSE,41.9599788,-87.76708202,"(41.959978801192655, -87.76708201857156)",,,,
033XX S DR MARTIN LUTHER KING JR DR,ASSAULT,SMALL RETAIL STORE,TRUE,FALSE,41.83353605,-87.61687061,"(41.83353605368827, -87.61687061495142)",,,,
105XX S YATES AVE,CRIMINAL DAMAGE,CHA APARTMENT,FALSE,FALSE,41.70374717,-87.56460232,"(41.7037471708799, -87.56460231595274)",,,,
025XX N NARRAGANSETT AVE,THEFT,SMALL RETAIL STORE,TRUE,FALSE,41.92632067,-87.78569837,"(41.92632066866794, -87.78569837488106)",,,,
098XX S HALSTED ST,CRIMINAL TRESPASS,GAS STATION,TRUE,FALSE,41.71558664,-87.6429127,"(41.715586636855, -87.64291270490075)",,,,
032XX N ORIOLE AVE,CRIMINAL DAMAGE,RESIDENCE,FALSE,FALSE,41.93879964,-87.81669709,"(41.93879963669434, -87.81669709013495)",,,,
040XX W CULLOM AVE,BATTERY,APARTMENT,TRUE,TRUE,41.95900366,-87.72868832,"(41.95900366150295, -87.72868831776017)",,,,
090XX S CARPENTER ST,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,41.73013185,-87.64939164,"(41.73013184891521, -87.64939163811576)",,,,
028XX N RIDGEWAY AVE,BATTERY,RESIDENCE,FALSE,FALSE,41.93320983,-87.72074746,"(41.933209831722785, -87.72074746193152)",,,,
